Type,Product,Category,Subcategory,Utterance,Conversation History,Source Chat ID,Timestamp,Question,Classification Evidence,Expected Subagent,Expected Action,New Expected Answer,Expected Answer - 5.1.2026,Revised Answer - 5.7.26,Reviewed by Tech - 5.7.26,Updated - 5.7.26
Fixed multi-turn utterance,Tableau / BI,Software Access,New Access Request,Creator,"[{""role"": ""user"", ""message"": ""I need Tableau Creator access for ad-hoc customer analytics reports""}, {""role"": ""agent"", ""message"": ""Got it — Tableau for ad-hoc customer analytics. Checking the access catalog now.""}, {""role"": ""user"", ""message"": """"}, {""role"": ""agent"", ""message"": ""The Tableau catalog shows these access types: User / Admin / API. Which one is closest to what you need?""}]",,2026-05-18,User reasserts 'Creator' — agent must NOT fabricate a Creator key.,Multiplier — partial-match; iter-11/12 anti-fabrication; expect Clarify or Escalate.,Escalation,stage_escalation,I don't see 'Creator' as a Tableau access type — only User / Admin / API. I can escalate so a specialist matches the right access level for ad-hoc analytics. Submit this as an escalation? (yes / no),,,,2026-05-18
Fixed multi-turn utterance,Slack,Software Access,New Access Request,yes,"[{""role"": ""user"", ""message"": ""I need to grant Slack access to my new hire""}, {""role"": ""agent"", ""message"": ""What's the new hire's name and email; your relationship; and the business reason?""}, {""role"": ""user"", ""message"": ""Jenks Miller jenkinsm@indeed.com — I'm his manager — to communicate with the team""}, {""role"": ""agent"", ""message"": ""Escalation summary: On behalf of: Jenks Miller (jenkinsm@indeed.com) / Relationship: manager / Application: Slack / Access type: General / Reason: Communicate with the team. Submit this escalation? (yes / no)""}]",,2026-05-18,Accept ConfirmEscalation in ON_BEHALF — handoff to Escalation with clean closing.,Multiplier+Escalation — ON_BEHALF chain INTACT; iter-8 centralization + iter-15 closing.,Escalation,accept_escalation_confirmation; go_to_Escalation; HelpIqAgentEscalateAction,<ticket-link | Ticket>. An IT specialist will take it from here and reach out through the ticket if more info is needed.,,,,2026-05-18
Fixed multi-turn utterance,GitHub / GitLab,Software Access,New Access Request,yes,"[{""role"": ""user"", ""message"": ""I need sourcegraph access""}, {""role"": ""agent"", ""message"": ""Got it — Sourcegraph isn't in our automated access catalog so I'll put together an escalation. What's the one-line business reason?""}, {""role"": ""user"", ""message"": ""search for other repos""}, {""role"": ""agent"", ""message"": ""Here's what I'll submit: Application: Sourcegraph / Access type: (specialist will resolve) / Reason: Search for other repos. Submit this escalation? (yes / no)""}]",,2026-05-18,Accept ConfirmEscalation in SELF catalog-miss — clean closing.,Multiplier+Escalation — SELF catalog-miss; iter-15 closing; production Sourcegraph trace.,Escalation,accept_escalation_confirmation; go_to_Escalation; HelpIqAgentEscalateAction,<ticket-link | Ticket>. A specialist will pick this up and follow up via the ticket if they need anything else.,,,,2026-05-18
Fixed multi-turn utterance,Internal Tool,Software Access,New Access Request,"no, actually change it to Admin instead","[{""role"": ""user"", ""message"": ""I need figma access""}, {""role"": ""agent"", ""message"": ""Which access type: Viewer / Editor / Admin?""}, {""role"": ""user"", ""message"": ""Editor""}, {""role"": ""agent"", ""message"": ""Got it — Editor for Figma. Request summary: Application: Figma / Access type: Editor / Reason: design reviews. Submit this request? (yes / no)""}]",,2026-05-18,User declines Confirm + changes slot — re-stage + re-Confirm; NOT Submit.,Multiplier — Confirm-no slot-correction (untested edge case).,HelpIqAgentMultiplierSoftwareRequests,stage_request,No problem — updating to Admin. Request summary: Application: Figma / Access type: Admin / Reason: design reviews. Submit this request? (yes / no),,,,2026-05-18
Fixed multi-turn utterance,Other / Unclear,Software Access,New Access Request,"Sarah Kim sarah.kim@indeed.com, my direct report, contractor account needs activation","[{""role"": ""user"", ""message"": ""A contractor needs access to Glean for a project but they are not showing up in the normal access list""}, {""role"": ""agent"", ""message"": ""Got it — contractor Glean access. Who specifically needs it (name + email) and what's your relationship to them?""}]",,2026-05-18,Provide beneficiary for contractor Glean access — ask for reason next.,Multiplier — ON_BEHALF contractor edge case; mirrors single multiplier-routed JSM-derived row.,HelpIqAgentMultiplierSoftwareRequests,HelpIqAgentApplicationAccessDetails; stage_escalation,"Got it — Sarah Kim (sarah.kim@indeed.com), your direct report and a contractor. What's the business reason Sarah needs Glean access (one sentence)?",,,,2026-05-18
Fixed multi-turn utterance,Internal Tool,Software Access,New Access Request,yes,"[{""role"": ""user"", ""message"": ""I need figma access""}, {""role"": ""agent"", ""message"": ""Which access type: Viewer / Editor / Admin?""}, {""role"": ""user"", ""message"": ""Viewer""}, {""role"": ""agent"", ""message"": ""What's the reason?""}, {""role"": ""user"", ""message"": ""design reviews""}, {""role"": ""agent"", ""message"": ""Request summary: Application: Figma / Access type: Viewer / Reason: design reviews. Submit this request? (yes / no)""}]",,2026-05-18,Accept Confirm at deeper turn — Submit + resolution check.,Multiplier — SELF Confirm INTACT; turn 7 anchor for consistency under deeper context.,HelpIqAgentMultiplierSoftwareRequests,accept_confirmation; HelpIqAgentMultiplierSoftwareRequests,All set — your Figma access request has been submitted. <ticket-link | Ticket>. Did this help?,,,,2026-05-18
Fixed multi-turn utterance,Internal Tool,Software Access,New Access Request,yes,"[{""role"": ""user"", ""message"": ""I need figma access""}, {""role"": ""agent"", ""message"": ""Which access type: Viewer / Editor / Admin?""}, {""role"": ""user"", ""message"": ""Viewer""}, {""role"": ""agent"", ""message"": ""Reason?""}, {""role"": ""user"", ""message"": ""design reviews""}, {""role"": ""agent"", ""message"": ""Request summary: Figma / Viewer / design reviews. Submit? (yes / no)""}, {""role"": ""user"", ""message"": ""yes""}, {""role"": ""agent"", ""message"": ""All set — your Figma access request has been submitted. <ticket-link | Ticket>. Did this help?""}]",,2026-05-18,Resolution-check yes — survey phrase (once per conv).,GeneralQnA — post-Submit resolution-check follow-up; iter-13 S1.,GeneralQnA_HelpIQ,go_to_GeneralQnA_HelpIQ,Glad that sorted it. Please let us know if we can improve anything by giving feedback.,,,,2026-05-18
Fixed multi-turn utterance,Internal Tool,Software Access,Existing Access Issue,"no, the link doesn't work","[{""role"": ""user"", ""message"": ""I need figma access""}, {""role"": ""agent"", ""message"": ""Which access type: Viewer / Editor / Admin?""}, {""role"": ""user"", ""message"": ""Viewer""}, {""role"": ""agent"", ""message"": ""Reason?""}, {""role"": ""user"", ""message"": ""design reviews""}, {""role"": ""agent"", ""message"": ""Request summary: Figma / Viewer / design reviews. Submit? (yes / no)""}, {""role"": ""user"", ""message"": ""yes""}, {""role"": ""agent"", ""message"": ""All set — your Figma access request has been submitted. <ticket-link | Ticket>. Did this help?""}]",,2026-05-18,Resolution-check no — empathetic ack + troubleshooting; NO survey.,GeneralQnA — post-Submit resolution-check NO; iter-13 S2.,GeneralQnA_HelpIQ,go_to_GeneralQnA_HelpIQ; HelpIQ_QnA,That's frustrating — if the ticket link won't open: make sure you're on VPN; try copy/paste of the full URL into a browser; check you're signed into the correct account. If none work tell me what you see.,,,,2026-05-18
Fixed multi-turn utterance,Internal Tool,Software Access,New Access Request,actually I also need Adobe access for the same project,"[{""role"": ""user"", ""message"": ""I need figma access""}, {""role"": ""agent"", ""message"": ""Which access type: Viewer / Editor / Admin?""}, {""role"": ""user"", ""message"": ""Viewer""}, {""role"": ""agent"", ""message"": ""Reason?""}, {""role"": ""user"", ""message"": ""design reviews""}, {""role"": ""agent"", ""message"": ""Request summary: Figma / Viewer / design reviews. Submit? (yes / no)""}, {""role"": ""user"", ""message"": ""yes""}, {""role"": ""agent"", ""message"": ""All set — your Figma access request has been submitted. <ticket-link | Ticket>. Did this help?""}]",,2026-05-18,Resolution-check turn — user pivots to NEW request — fresh request flow.,Multiplier — post-Submit topic pivot; turn 9 edge case.,HelpIqAgentMultiplierSoftwareRequests,HelpIqAgentApplicationAccessDetails,Got it — separate request for Adobe access. What's the business reason for the Adobe access (one line)?,,,,2026-05-18
Fixed multi-turn utterance,Slack,Software Access,New Access Request,yes,"[{""role"": ""user"", ""message"": ""I need to grant Slack access to my new hire""}, {""role"": ""agent"", ""message"": ""What's the new hire's name and email?""}, {""role"": ""user"", ""message"": ""Jenks Miller, jenkinsm@indeed.com""}, {""role"": ""agent"", ""message"": ""Got it. What's your relationship to Jenks?""}, {""role"": ""user"", ""message"": ""manager""}, {""role"": ""agent"", ""message"": ""What's the business reason for Slack access?""}, {""role"": ""user"", ""message"": ""communicate with the team""}, {""role"": ""agent"", ""message"": ""Escalation summary: On behalf of: Jenks Miller (jenkinsm@indeed.com) / Relationship: manager / Application: Slack / Reason: Communicate with the team. Submit this escalation? (yes / no)""}]",,2026-05-18,Accept ConfirmEscalation after long single-slot gather.,Multiplier+Escalation — ON_BEHALF pacing; turn 9 handoff anchor.,Escalation,accept_escalation_confirmation; go_to_Escalation; HelpIqAgentEscalateAction,<ticket-link | Ticket>. An IT specialist will take it from here and reach out through the ticket if more info is needed.,,,,2026-05-18
Fixed multi-turn utterance,Other / Unclear,Software Access,New Access Request,for John,"[{""role"": ""user"", ""message"": ""I need datadog access""}, {""role"": ""agent"", ""message"": ""Got it — Datadog. Quick check: is this for you or for someone else?""}]",,2026-05-18,User reveals ON_BEHALF mid-flow — must route to escalation; NOT silent SELF Submit.,Multiplier — SELF→ON_BEHALF detection; discovery transcript example (Datadog ticket silently filed for requester when actually for John).,HelpIqAgentMultiplierSoftwareRequests,HelpIqAgentApplicationAccessDetails,Got it — for John. So I can set up the escalation correctly: what's John's full name and email (or LDAP) and your relationship to him?,,,,2026-05-18
Fixed multi-turn utterance,Other / Unclear,How-To / Policy,Information Request,"I'm not based in Japan, am I still eligible?","[{""role"": ""user"", ""message"": ""I need Concur access for travel expenses""}, {""role"": ""agent"", ""message"": ""Got it — Concur access. Heads-up: Concur in our catalog is primarily for our Japan office. What's your office/region?""}]",,2026-05-18,Eligibility question — KB lookup; do not fabricate policy.,GeneralQnA — INFO inside multiplier; region-restricted-app edge case from discovery.,GeneralQnA_HelpIQ,go_to_GeneralQnA_HelpIQ; HelpIQ_QnA,(handoff to GeneralQnA_HelpIQ — Concur is primarily for Japan office but requests outside Japan are not auto-rejected; approver decides case-by-case. Ends with bold 'Did this help?'),,,,2026-05-18
Fixed multi-turn utterance,Internal Tool,Software Access,New Access Request,yes,"[{""role"": ""user"", ""message"": ""I need Figma access for 3 of my direct reports""}, {""role"": ""agent"", ""message"": ""Who needs it and what's the business reason?""}, {""role"": ""user"", ""message"": ""Alex Smith asmith@indeed.com / Bo Lee blee@indeed.com / Cam Patel cpatel@indeed.com — for quarterly design reviews""}, {""role"": ""agent"", ""message"": ""Escalation summary: Beneficiaries: Alex Smith / Bo Lee / Cam Patel / Relationship: manager / Application: Figma / Reason: Quarterly design reviews. Submit this escalation? (yes / no)""}]",,2026-05-18,Accept ConfirmEscalation in MULTIPLE — single ticket for all 3.,Multiplier+Escalation — MULTIPLE; iter-9 bulk + iter-8 centralization.,Escalation,accept_escalation_confirmation; go_to_Escalation; HelpIqAgentEscalateAction,<ticket-link | Ticket>. An IT specialist will take it from here and reach out through the ticket if more info is needed.,,,,2026-05-18
Fixed multi-turn utterance,Cursor / AI Tools,Software Access,License Request,ChatGPT Enterprise for our team's research,"[{""role"": ""user"", ""message"": ""I need access to an AI tool""}, {""role"": ""agent"", ""message"": ""Sure — which AI tool? We have Cursor, GitHub Copilot, and a few others in the catalog.""}]",,2026-05-18,User asks for catalog-miss AI tool — recognize miss + start escalation gather.,"Multiplier — SELF catalog-miss for AI tools category (NOTE: hypothetical, 0 production sessions).",HelpIqAgentMultiplierSoftwareRequests,HelpIqAgentApplicationAccessDetails,Got it — ChatGPT Enterprise. That one isn't in our automated access catalog so I'll put together an escalation. What's your one-line business reason?,,,,2026-05-18
Fixed multi-turn utterance,Zoom,Software Access,License Request,yes,"[{""role"": ""user"", ""message"": ""zoom phone""}, {""role"": ""agent"", ""message"": ""Could you please share the reason why you need access to Zoom?""}]",019d98ed,2026-05-18,"User says bare 'yes' when agent asked for reason — agent must treat as filler and re-ask for reason explicitly (NOT submit, NOT fabricate reason).",Multiplier — SELF; production bug repro from chat 019d98ed where agent re-asked the same question after user said yes; 7 production sessions show this pattern; turn 3 anchor for yes-as-filler discipline.,HelpIqAgentMultiplierSoftwareRequests,HelpIqAgentApplicationAccessDetails,"I want to make sure I capture this right — what's the specific business reason you need Zoom Phone access (one line is fine)? For example, 'frequent calls with external partners' or 'recording sales calls'.",,,,2026-05-18
Fixed multi-turn utterance,Internal Tool,Software Access,License Request,"I also need a replacement charger for my MacBook Pro, mine is broken and I'm remote in Germany","[{""role"": ""user"", ""message"": ""Please submit a software request to upgrade my Zoom license so I can host longer meetings.""}, {""role"": ""agent"", ""message"": ""Your request to upgrade your Zoom license has been successfully submitted. <ticket-link | Ticket>. Did this help?""}]",019da9d3,2026-05-18,"User fires a NEW request (hardware not software) after successful Submit — agent should hand off to right scope (NOT treat as resolution-check answer, NOT extend Zoom ticket).",Multiplier — multi-request continuity; production pattern from chat 019da9d3 + 6 other sessions with 2+ tickets per session; turn 3 anchor for post-Submit pivot to DIFFERENT scope.,GeneralQnA_HelpIQ,go_to_GeneralQnA_HelpIQ,Got it — that's a hardware/equipment request which is separate from software access. (handoff to GeneralQnA_HelpIQ which provides the hardware request route or escalates appropriately. Ends with bold 'Did this help?'),,,,2026-05-18
Fixed multi-turn utterance,Other / Unclear,Software Access,License Request,Office 365 + Teams,"[{""role"": ""user"", ""message"": ""how can i get a license for Excel for my account""}, {""role"": ""agent"", ""message"": ""To get a license for Excel I can put in a request under Microsoft Office 365. Which access type fits: Office 365 / Office 365 + Teams / Entra ID (Azure)?""}]",019d84fe,2026-05-18,User picks Office 365 + Teams from multi-variant Clarify — agent should ask reason next.,Multiplier — SELF in-catalog; production pattern from chat 019d84fe where Excel resolved to Office 365 with 3 variants; turn 3 anchor for multi-variant Clarify reply.,HelpIqAgentMultiplierSoftwareRequests,HelpIqAgentApplicationAccessDetails,Got it — Office 365 + Teams. What's the business reason you need it (one line)?,,,,2026-05-18
Fixed multi-turn utterance,Seismic,Software Access,New Access Request,Regular user access,"[{""role"": ""user"", ""message"": ""how can I set up seismic? It doesnt give me the option to integrate it via external credentials""}, {""role"": ""agent"", ""message"": ""Thanks for the quick note. This request should be handled by an IT Specialist to confirm the correct Seismic setup approach. Would you like me to create a ticket to reach out to an IT Specialist?""}, {""role"": ""user"", ""message"": ""Create a ticket for IT Specialist help""}, {""role"": ""agent"", ""message"": ""Seismic offers three access levels: 1) Regular (Business) User, 2) Premium User, 3) Super User/Admin. Which level suits your needs and what's the reason?""}]",019d9103,2026-05-18,User picks access level after specialist + access-type Clarify — agent must Confirm + ask reason; NOT immediately Submit (production bug — was submitting without Confirm).,Multiplier — SELF in-catalog; production 4-turn pattern from chat 019d9103 where agent submitted WITHOUT Confirm (AC #2 violation visible in production today); turn 5 anchor for Confirm gate enforcement.,HelpIqAgentMultiplierSoftwareRequests,HelpIqAgentApplicationAccessDetails,Got it — Regular (Business) User access for Seismic. What's the business reason you need it (one line)?,,,,2026-05-18
Fixed multi-turn utterance,Other / Unclear,Software Access,New Access Request,Salesforceの開発を行っており、業務フローやアーキテクトの図示が必要なためです,"[{""role"": ""user"", ""message"": ""LucidChartの権限付与をしてほしいです。""}, {""role"": ""agent"", ""message"": ""Lucid Softwareの権限付与について、以下の情報が確認できました：アプリケーション名: Lucid Software / アクセスタイプ: Default。権限付与の理由を教えていただけますか？""}]",019daedb,2026-05-18,User provides reason in Japanese — agent must respond in Japanese AND Confirm before submitting (production bug — was submitting without Confirm).,Multiplier — SELF in-catalog; production pattern from chat 019daedb (Japanese Lucid Software request that submitted without Confirm); turn 3 anchor for multilingual + Confirm gate.,HelpIqAgentMultiplierSoftwareRequests,stage_request,確認のため、リクエストの詳細をご確認ください: アプリケーション: Lucid Software / アクセスタイプ: Default / 理由: Salesforce開発における業務フローと アーキテクト図示。このリクエストを送信しますか？ (はい / いいえ),,,,2026-05-18
Fixed multi-turn utterance,Slack,Software Access,New Access Request,to create a workflow within slack and gsheet where the sheet would log any new questions,"[{""role"": ""user"", ""message"": ""I need the to the slack access token and secret in order to connect the slack for the workflow in the n8n prd instance. Attached is the screenshot. Can you please create the ticket ?""}, {""role"": ""agent"", ""message"": ""Sorry, I can't assist with that. If you have any other questions or need help with Salesforce-related topics, feel free to ask!""}, {""role"": ""user"", ""message"": ""within the N8N PROD environment i need access to slack when creating workflow""}, {""role"": ""agent"", ""message"": ""Could you please share the reason why you need access to Slack within the N8N PROD environment?""}]",019d6dc4,2026-05-18,Provide reason after long context with prior off-topic refusal — agent must Confirm before Submit; NOT immediately Submit (production AC #2 violation).,Multiplier — SELF in-catalog with developer/integration context; production 11-turn session 019d6dc4 had agent refuse with 'Salesforce-related topics' error THEN submit without Confirm; turn 5 anchor for the worst-case production regression.,HelpIqAgentMultiplierSoftwareRequests,stage_request,Got it — Slack access for the N8N PROD workflow so the sheet can log new questions. Request summary: Application: Slack / Access type: (specialist will resolve token type) / Reason: Create N8N PROD workflow logging questions to GSheet. Submit this request? (yes / no),,,,2026-05-18
Single-turn fixed utterance,GitHub / GitLab,Software Access,New Access Request,I need sourcegraph access,,,2026-05-18,First-turn catalog-miss request for an app not in our automated catalog — agent must detect miss and start escalation gather (NOT silently submit).,Multiplier — SELF; catalog-miss; turn 1 anchor — backfills missing first-turn coverage (0 of 279 single-turn rows mention Sourcegraph).,HelpIqAgentMultiplierSoftwareRequests,HelpIqAgentApplicationAccessDetails,Got it — Sourcegraph access. That one isn't in our automated access catalog so I'll put together an escalation for a specialist. What's your one-line business reason?,,,,2026-05-18
Single-turn fixed utterance,Tableau / BI,Software Access,License Request,I need Tableau Creator access for ad-hoc customer analytics reports,,,2026-05-18,"First-turn request asserting an access type ('Creator') that may not literally match catalog — agent must fetch catalog and present real options (User / Admin / API), NOT fabricate a Creator key.",Multiplier — SELF; partial-match; turn 1 anchor — backfills missing first-turn coverage (0 of 279 single-turn rows mention 'Tableau Creator'); iter-11/12 anti-fabrication.,HelpIqAgentMultiplierSoftwareRequests,HelpIqAgentApplicationAccessDetails,Got it — Tableau for ad-hoc customer analytics. Looking up access types now. The Tableau catalog shows: User / Admin / API. Which is closest to what 'Creator' means for you? If none match I can escalate so a specialist gets you the right level.,,,,2026-05-18
Single-turn fixed utterance,Other / Unclear,Immediate Escalation,Contact Support,I want to talk to a human,,,2026-05-18,First-turn explicit human-handoff ask — agent should route to Escalation subagent for Path A live transfer (NOT GeneralQnA). NOTE: iter-15 shows current routing sends to GeneralQnA today; this row captures ASPIRATIONAL expected behavior.,Escalation — Path A direct live transfer; turn 1 anchor — backfills missing first-turn coverage (0 of 279 single-turn rows match this pattern); known routing bug not yet fixed.,Escalation,escalate_to_human,Got it — you'd like to speak with a human. I'll open a live-transfer ticket so an agent can reach out. What's the issue and how urgent is it?,,,,2026-05-18
Single-turn fixed utterance,Other / Unclear,Software Access,New Access Request,I need Concur access for travel expenses,,,2026-05-18,"First-turn request for region-restricted app (Concur primarily for Japan office) — agent should fetch catalog AND surface the regional restriction proactively, asking for region/office.",Multiplier — SELF; region-restricted app from discovery transcript; turn 1 anchor — backfills missing first-turn coverage (0 of 279 single-turn rows mention Concur).,HelpIqAgentMultiplierSoftwareRequests,HelpIqAgentApplicationAccessDetails,Got it — Concur for travel expenses. Quick heads-up: Concur in our catalog is primarily set up for our Japan office (approvers may decline if you're outside Japan). What's your office/region and what's the business reason?,,,,2026-05-18
