case_number,trial,utterance,expected_topic,actual_topic,outcome_first_120,topic_assertion,actions_assertion,output_validation,completeness,coherence,conciseness,latency_ms
94,,I need help accessing Seismic through external credentials.,HelpIqAgentMultiplierSoftwareRequests,HelpIqAgentMultiplierSoftwareRequests,It seems there is no specific information available about accessing Seismic with external credentials in the current con,PASS,PASS,FAILURE,FAILURE,PASS,FAILURE,
95,,I need help accessing Seismic through external credentials.,HelpIqAgentMultiplierSoftwareRequests,HelpIqAgentMultiplierSoftwareRequests,It seems that Seismic is not listed in the available application metadata I have access to. This means I cannot directly,PASS,PASS,FAILURE,FAILURE,PASS,PASS,
96,,I need help accessing Seismic through external credentials.,HelpIqAgentMultiplierSoftwareRequests,HelpIqAgentMultiplierSoftwareRequests,"I see you&#39;re asking about accessing Seismic with external credentials. Let me confirm:

Are you looking for standard",PASS,FAILURE,PASS,FAILURE,PASS,PASS,
100,,Can I please get access to Cursor?,HelpIqAgentMultiplierSoftwareRequests,HelpIqAgentMultiplierSoftwareRequests,It seems that &quot;Cursor&quot; is not listed in the approved applications catalog. The available applications include:,PASS,PASS,FAILURE,PASS,PASS,PASS,
101,,Can I please get access to Cursor?,HelpIqAgentMultiplierSoftwareRequests,HelpIqAgentMultiplierSoftwareRequests,It seems that &quot;Cursor&quot; is not listed in the approved software catalog. If you believe this is an error or need,PASS,PASS,FAILURE,FAILURE,PASS,PASS,
102,,Can I please get access to Cursor?,HelpIqAgentMultiplierSoftwareRequests,HelpIqAgentMultiplierSoftwareRequests,It seems that &quot;Cursor&quot; is not listed in the approved application catalog. If you meant a different application,PASS,PASS,FAILURE,PASS,PASS,PASS,
106,,I need access to the Google Developers and Google Payments groups to publish an internal extension,HelpIqAgentMultiplierSoftwareRequests,HelpIqAgentMultiplierSoftwareRequests,It seems that &quot;Google Developers&quot; and &quot;Google Payments&quot; are not listed in the available applications,PASS,PASS,FAILURE,FAILURE,PASS,PASS,
107,,I need access to the Google Developers and Google Payments groups to publish an internal extension,HelpIqAgentMultiplierSoftwareRequests,HelpIqAgentMultiplierSoftwareRequests,It seems that there is no matching application information for &quot;Google Developers&quot; or &quot;Google Payments&qu,PASS,PASS,FAILURE,FAILURE,PASS,FAILURE,
108,,I need access to the Google Developers and Google Payments groups to publish an internal extension,HelpIqAgentMultiplierSoftwareRequests,HelpIqAgentMultiplierSoftwareRequests,I couldn&#39;t find any information about applications named &quot;Google Developers&quot; or &quot;Google Payments&quot,PASS,PASS,FAILURE,FAILURE,PASS,FAILURE,
178,,I need the to the slack access token and secret in order to connect the slack for the workflow in the n8n prd instance. Attached is the screenshot. Can you please create the ticket ?,HelpIqAgentMultiplierSoftwareRequests,HelpIqAgentMultiplierSoftwareRequests,I can assist you with creating a ticket for the Slack access token and secret. Could you please provide the reason for n,PASS,FAILURE,PASS,FAILURE,PASS,PASS,
179,,I need the to the slack access token and secret in order to connect the slack for the workflow in the n8n prd instance. Attached is the screenshot. Can you please create the ticket ?,HelpIqAgentMultiplierSoftwareRequests,HelpIqAgentMultiplierSoftwareRequests,I can help you request access to Slack for your workflow in the n8n production instance. Could you please provide a brie,PASS,PASS,PASS,PASS,PASS,PASS,
180,,I need the to the slack access token and secret in order to connect the slack for the workflow in the n8n prd instance. Attached is the screenshot. Can you please create the ticket ?,HelpIqAgentMultiplierSoftwareRequests,HelpIqAgentMultiplierSoftwareRequests,I can assist you with creating a ticket for the Slack access token and secret. Could you please provide the reason for n,PASS,FAILURE,PASS,FAILURE,PASS,PASS,
247,,"A contractor needs access to Glean for a project, but they are not showing up in the normal request flow.",HelpIqAgentMultiplierSoftwareRequests,HelpIqAgentMultiplierSoftwareRequests,"I can help you request access to Glean for the contractor. There are three access types available:

1. Contractor Access",PASS,PASS,PASS,PASS,PASS,PASS,
248,,"A contractor needs access to Glean for a project, but they are not showing up in the normal request flow.",HelpIqAgentMultiplierSoftwareRequests,HelpIqAgentMultiplierSoftwareRequests,"I can assist with requesting access to Glean for the contractor. There are three access types available:

1. Contractor ",PASS,PASS,PASS,PASS,PASS,PASS,
249,,"A contractor needs access to Glean for a project, but they are not showing up in the normal request flow.",HelpIqAgentMultiplierSoftwareRequests,HelpIqAgentMultiplierSoftwareRequests,"I can assist with requesting access to Glean for the contractor. There are three access types available:

1. Contractor ",PASS,PASS,PASS,PASS,PASS,PASS,
364,,"Hello, My Zoom account is on Basic and my meetings end after 40 minutes. Please submit a software request to upgrade my Zoom licenseso I can host longer meetings. Thank you.",HelpIqAgentMultiplierSoftwareRequests,HelpIqAgentMultiplierSoftwareRequests,Your request to upgrade your Zoom license has been successfully submitted. You can track the progress of your request us,PASS,PASS,PASS,PASS,PASS,PASS,
365,,"Hello, My Zoom account is on Basic and my meetings end after 40 minutes. Please submit a software request to upgrade my Zoom licenseso I can host longer meetings. Thank you.",HelpIqAgentMultiplierSoftwareRequests,HelpIqAgentMultiplierSoftwareRequests,"I see you mentioned Zoom. To help you correctly, are you looking for the standard Zoom application or a specific version",PASS,FAILURE,FAILURE,FAILURE,FAILURE,FAILURE,
366,,"Hello, My Zoom account is on Basic and my meetings end after 40 minutes. Please submit a software request to upgrade my Zoom licenseso I can host longer meetings. Thank you.",HelpIqAgentMultiplierSoftwareRequests,HelpIqAgentMultiplierSoftwareRequests,I can assist with your request to upgrade your Zoom license. Could you please provide a brief reason for needing this up,PASS,FAILURE,PASS,PASS,PASS,PASS,
397,,I have recently joined `Resume Parsing` team and I need access to Figma? Can you please create a IT ticket for the same?,HelpIqAgentMultiplierSoftwareRequests,HelpIqAgentMultiplierSoftwareRequests,"Figma offers several access types tailored to different roles. Here are the options available:

- **Viewer**: Suitable f",PASS,PASS,PASS,FAILURE,PASS,FAILURE,
398,,I have recently joined `Resume Parsing` team and I need access to Figma? Can you please create a IT ticket for the same?,HelpIqAgentMultiplierSoftwareRequests,HelpIqAgentMultiplierSoftwareRequests,"Figma offers several access types tailored to different roles and needs. Here are the available options:

1. **Viewer**:",PASS,PASS,PASS,FAILURE,PASS,FAILURE,
399,,I have recently joined `Resume Parsing` team and I need access to Figma? Can you please create a IT ticket for the same?,HelpIqAgentMultiplierSoftwareRequests,HelpIqAgentMultiplierSoftwareRequests,"Figma is used for interface design, prototyping, collaboration, and developer handoff. Access is tiered, and most users ",PASS,PASS,PASS,FAILURE,PASS,PASS,
403,,"Hi There , i have recently came back off maternity leave - i cant get access to this link https://data.indeed.tech/crystal/chat/7ee313e6-156e-4d14-814b-aa9a70bad1c7",HelpIqAgentMultiplierSoftwareRequests,GeneralQnA_HelpIq,It seems like your access issue might be related to your return from maternity leave. Here are the steps you should foll,FAILURE,FAILURE,PASS,PASS,PASS,PASS,
404,,"Hi There , i have recently came back off maternity leave - i cant get access to this link https://data.indeed.tech/crystal/chat/7ee313e6-156e-4d14-814b-aa9a70bad1c7",HelpIqAgentMultiplierSoftwareRequests,GeneralQnA_HelpIq,"I’m happy to help you with this, and there is a clear next step to check first.

Please confirm your return date with HR",FAILURE,FAILURE,PASS,PASS,PASS,PASS,
405,,"Hi There , i have recently came back off maternity leave - i cant get access to this link https://data.indeed.tech/crystal/chat/7ee313e6-156e-4d14-814b-aa9a70bad1c7",HelpIqAgentMultiplierSoftwareRequests,GeneralQnA_HelpIq,"I’m happy to help you with this, and there is one check to complete first.

Since access issues after leave are commonly",FAILURE,FAILURE,PASS,PASS,PASS,PASS,
406,,<Assistant#U09MKKH50CR> I’m a contractor and I'm trying to access a Figma but I’m getting this error: “User is not assigned this application.” Could someone please help me with access?,HelpIqAgentMultiplierSoftwareRequests,HelpIqAgentMultiplierSoftwareRequests,"I can help you request access to Figma. Here are the available access types for Figma:

1. **Viewer**: Default access fo",PASS,PASS,PASS,PASS,PASS,PASS,
407,,<Assistant#U09MKKH50CR> I’m a contractor and I'm trying to access a Figma but I’m getting this error: “User is not assigned this application.” Could someone please help me with access?,HelpIqAgentMultiplierSoftwareRequests,HelpIqAgentMultiplierSoftwareRequests,"I understand you&#39;re trying to access Figma but are encountering an error stating, &quot;User is not assigned this ap",PASS,FAILURE,PASS,PASS,PASS,PASS,
408,,<Assistant#U09MKKH50CR> I’m a contractor and I'm trying to access a Figma but I’m getting this error: “User is not assigned this application.” Could someone please help me with access?,HelpIqAgentMultiplierSoftwareRequests,HelpIqAgentMultiplierSoftwareRequests,"I can definitely help you request access to Figma! There are several access types available for Figma, each tailored to ",PASS,PASS,PASS,PASS,PASS,PASS,
430,,I need to get this service account access to Terraform Enterprise. mailto:svc_pexp_claudeworker@indeed.com,HelpIqAgentMultiplierSoftwareRequests,GeneralQnA_HelpIq,"I understand you need help with service account access for Terraform Enterprise.

Would you like me to create a ticket t",FAILURE,FAILURE,FAILURE,PASS,PASS,FAILURE,
431,,I need to get this service account access to Terraform Enterprise. mailto:svc_pexp_claudeworker@indeed.com,HelpIqAgentMultiplierSoftwareRequests,GeneralQnA_HelpIq,"I understand you need help with service account access for Terraform Enterprise.

Would you like me to create a ticket t",FAILURE,FAILURE,FAILURE,PASS,PASS,FAILURE,
432,,I need to get this service account access to Terraform Enterprise. mailto:svc_pexp_claudeworker@indeed.com,HelpIqAgentMultiplierSoftwareRequests,GeneralQnA_HelpIq,"I understand you need help with service account access for Terraform Enterprise.

Would you like me to create a ticket t",FAILURE,FAILURE,FAILURE,PASS,PASS,PASS,
481,,"Hi, I want to connect with seismic, but i do not see the exteral credentials, what can i do?",HelpIqAgentMultiplierSoftwareRequests,HelpIqAgentMultiplierSoftwareRequests,It seems that &quot;Seismic&quot; is not listed in the available application catalog. The catalog includes applications ,PASS,PASS,FAILURE,FAILURE,PASS,PASS,
482,,"Hi, I want to connect with seismic, but i do not see the exteral credentials, what can i do?",HelpIqAgentMultiplierSoftwareRequests,HelpIqAgentMultiplierSoftwareRequests,"I wasn’t able to find any information about an application named &quot;Seismic&quot; in the provided data.

Because of t",PASS,PASS,FAILURE,FAILURE,PASS,PASS,
483,,"Hi, I want to connect with seismic, but i do not see the exteral credentials, what can i do?",HelpIqAgentMultiplierSoftwareRequests,HelpIqAgentMultiplierSoftwareRequests,It seems that there is no entry for an application named &quot;Seismic&quot; in the available data. The provided informa,PASS,PASS,FAILURE,PASS,PASS,PASS,
490,,please enable “Adds a row to a Google sheet” action in glean,HelpIqAgentMultiplierSoftwareRequests,HelpIqAgentMultiplierSoftwareRequests,I can help you request access to the &quot;Adds a row to a Google sheet&quot; action in Glean. There are three access ty,PASS,PASS,FAILURE,FAILURE,PASS,PASS,
491,,please enable “Adds a row to a Google sheet” action in glean,HelpIqAgentMultiplierSoftwareRequests,HelpIqAgentMultiplierSoftwareRequests,It seems that &quot;Google Sheets&quot; or any related Google Workspace application is not listed in the available appli,PASS,PASS,FAILURE,FAILURE,PASS,PASS,
492,,please enable “Adds a row to a Google sheet” action in glean,HelpIqAgentMultiplierSoftwareRequests,HelpIqAgentMultiplierSoftwareRequests,It seems there is no application related to Google Sheets or any Google-related app defined in the available context. Th,PASS,PASS,FAILURE,FAILURE,PASS,PASS,
583,,I want to access idash. It's first time.,HelpIqAgentMultiplierSoftwareRequests,GeneralQnA_HelpIq,"I can help route this request to the right place.

Do you want me to reach out to an IT Specialist by creating a ticket?",FAILURE,FAILURE,FAILURE,PASS,PASS,FAILURE,
584,,I want to access idash. It's first time.,HelpIqAgentMultiplierSoftwareRequests,GeneralQnA_HelpIq,"I understand you want to get into iDash for the first time.

Would you like me to reach out to an IT Specialist by creat",FAILURE,FAILURE,FAILURE,PASS,PASS,FAILURE,
585,,I want to access idash. It's first time.,HelpIqAgentMultiplierSoftwareRequests,GeneralQnA_HelpIq,"I can help you with getting access to internal tools.

Would you like me to reach out to an IT Specialist by creating a ",FAILURE,FAILURE,PASS,PASS,PASS,PASS,
586,,How can I get access to idash in Okta?,HelpIqAgentMultiplierSoftwareRequests,GeneralQnA_HelpIq,"To get access to iDash in Okta, follow these steps:

1. Open the application catalog here: [Application Catalog](https:/",FAILURE,FAILURE,FAILURE,FAILURE,PASS,PASS,
587,,How can I get access to idash in Okta?,HelpIqAgentMultiplierSoftwareRequests,GeneralQnA_HelpIq,"To get access to iDash in Okta, follow these steps:

1. Open the application catalog here: [Application Catalog](https:/",FAILURE,FAILURE,FAILURE,PASS,PASS,PASS,
588,,How can I get access to idash in Okta?,HelpIqAgentMultiplierSoftwareRequests,GeneralQnA_HelpIq,"You can request access to *idash* in Okta by following these steps:

1. Open the [Application Catalog](https://ng-catalo",FAILURE,FAILURE,FAILURE,PASS,PASS,PASS,
640,,"I need access permissions for Asana to manage tasks, track progress, and use Gantt chart functionality for system maintenance.",HelpIqAgentMultiplierSoftwareRequests,HelpIqAgentMultiplierSoftwareRequests,Your access request for Asana has been successfully submitted. You can track the progress of your request using the foll,PASS,PASS,FAILURE,PASS,PASS,FAILURE,
641,,"I need access permissions for Asana to manage tasks, track progress, and use Gantt chart functionality for system maintenance.",HelpIqAgentMultiplierSoftwareRequests,HelpIqAgentMultiplierSoftwareRequests,Your access request for Asana has been successfully submitted. You can track the progress of your request using the foll,PASS,PASS,FAILURE,PASS,PASS,PASS,
642,,"I need access permissions for Asana to manage tasks, track progress, and use Gantt chart functionality for system maintenance.",HelpIqAgentMultiplierSoftwareRequests,HelpIqAgentMultiplierSoftwareRequests,Your access request for Asana has been successfully submitted. You can track the progress of your request using the foll,PASS,PASS,FAILURE,PASS,PASS,FAILURE,
673,,get access to claude,HelpIqAgentMultiplierSoftwareRequests,HelpIqAgentMultiplierSoftwareRequests,It seems that &quot;Claude&quot; is not listed as an available application in the provided data. Here are the applicatio,PASS,PASS,FAILURE,PASS,PASS,PASS,
674,,get access to claude,HelpIqAgentMultiplierSoftwareRequests,HelpIqAgentMultiplierSoftwareRequests,It seems there is no application named &quot;Claude&quot; in the provided information. I cannot identify the application,PASS,PASS,FAILURE,FAILURE,PASS,PASS,
675,,get access to claude,HelpIqAgentMultiplierSoftwareRequests,HelpIqAgentMultiplierSoftwareRequests,It seems that &quot;Claude&quot; is not listed as an application in the provided data. The available applications includ,PASS,PASS,FAILURE,FAILURE,PASS,PASS,
703,,I'm an AE that started Jan 1 and I currently do not have access to tableau - can I please have some assistance gaining access?,HelpIqAgentMultiplierSoftwareRequests,HelpIqAgentMultiplierSoftwareRequests,"I can assist you in gaining access to Tableau. There are multiple access types available for Tableau, each tailored to s",PASS,PASS,PASS,PASS,PASS,PASS,
704,,I'm an AE that started Jan 1 and I currently do not have access to tableau - can I please have some assistance gaining access?,HelpIqAgentMultiplierSoftwareRequests,HelpIqAgentMultiplierSoftwareRequests,"I can assist you in gaining access to Tableau. There are multiple access types available, each tailored to specific role",PASS,PASS,PASS,PASS,PASS,PASS,
705,,I'm an AE that started Jan 1 and I currently do not have access to tableau - can I please have some assistance gaining access?,HelpIqAgentMultiplierSoftwareRequests,HelpIqAgentMultiplierSoftwareRequests,"Tableau offers multiple access types to support different user roles. Here are the available options:

1. **Viewer (Cont",PASS,PASS,PASS,PASS,PASS,PASS,
751,,I need access to Huddle,HelpIqAgentMultiplierSoftwareRequests,HelpIqAgentMultiplierSoftwareRequests,I can help you request access to Huddle. It appears there is a &quot;General&quot; access type available for this applic,PASS,PASS,PASS,PASS,PASS,FAILURE,
752,,I need access to Huddle,HelpIqAgentMultiplierSoftwareRequests,HelpIqAgentMultiplierSoftwareRequests,"I can help you request access to Huddle. It appears there is a single access type available for this application.

Could",PASS,PASS,PASS,PASS,PASS,PASS,
753,,I need access to Huddle,HelpIqAgentMultiplierSoftwareRequests,HelpIqAgentMultiplierSoftwareRequests,"I can definitely help you request access to Huddle right here! Let me gather the necessary details.

Could you please pr",PASS,FAILURE,PASS,PASS,PASS,PASS,
784,,aura,HelpIqAgentMultiplierSoftwareRequests,GeneralQnA_HelpIq,"I can help with Seismic Aura.

Could you choose the task that matches what you need?

1. **Learn what Aura AI is**.
2. *",FAILURE,FAILURE,FAILURE,FAILURE,PASS,PASS,
785,,aura,HelpIqAgentMultiplierSoftwareRequests,GeneralQnA_HelpIq,"I can help with Seismic Aura.

1. **Seismic Aura AI Copilot** is a pilot feature in Seismic.
2. It is used to help reps ",FAILURE,FAILURE,FAILURE,PASS,PASS,PASS,
786,,aura,HelpIqAgentMultiplierSoftwareRequests,GeneralQnA_HelpIq,"I can help with that.

Please choose the Seismic Aura AI topic that fits your need.

1. **What Aura AI is**.
2. **Who ca",FAILURE,FAILURE,FAILURE,FAILURE,PASS,PASS,
805,,I need Tableau API access with Service Account (Viewer) permissions to retrieve campaign data and reflect the campaign budget in the forecast.,HelpIqAgentMultiplierSoftwareRequests,HelpIqAgentMultiplierSoftwareRequests,"I can definitely help you request access to Tableau API with Service Account (Viewer) permissions. To proceed, I need a ",PASS,FAILURE,PASS,PASS,PASS,PASS,
806,,I need Tableau API access with Service Account (Viewer) permissions to retrieve campaign data and reflect the campaign budget in the forecast.,HelpIqAgentMultiplierSoftwareRequests,HelpIqAgentMultiplierSoftwareRequests,I can help you request access to Tableau API with Service Account (Viewer) permissions. Could you please provide a brief,PASS,PASS,PASS,FAILURE,PASS,PASS,
807,,I need Tableau API access with Service Account (Viewer) permissions to retrieve campaign data and reflect the campaign budget in the forecast.,HelpIqAgentMultiplierSoftwareRequests,HelpIqAgentMultiplierSoftwareRequests,"I can definitely help you request access to Tableau API with Service Account (Viewer) permissions. To proceed, I need a ",PASS,FAILURE,PASS,PASS,PASS,PASS,
835,,I need grammarly access,HelpIqAgentMultiplierSoftwareRequests,HelpIqAgentMultiplierSoftwareRequests,"It seems that Grammarly is not listed in the approved applications catalog based on the available data. Unfortunately, I",PASS,PASS,FAILURE,PASS,PASS,PASS,
836,,I need grammarly access,HelpIqAgentMultiplierSoftwareRequests,HelpIqAgentMultiplierSoftwareRequests,"I can definitely help you request access to Grammarly right here! Let me gather the necessary details for your request.
",PASS,FAILURE,PASS,PASS,PASS,PASS,
837,,I need grammarly access,HelpIqAgentMultiplierSoftwareRequests,HelpIqAgentMultiplierSoftwareRequests,"It seems that Grammarly is not listed in the approved applications catalog. Unfortunately, I cannot process a request fo",PASS,PASS,FAILURE,PASS,PASS,PASS,
838,,I need access to docusign,HelpIqAgentMultiplierSoftwareRequests,HelpIqAgentMultiplierSoftwareRequests,"I couldn&#39;t find specific information about DocuSign in the provided context, including its application key, access t",PASS,PASS,FAILURE,FAILURE,PASS,FAILURE,
839,,I need access to docusign,HelpIqAgentMultiplierSoftwareRequests,HelpIqAgentMultiplierSoftwareRequests,"It seems that DocuSign is not listed in the available applications for access provisioning. Unfortunately, I cannot proc",PASS,PASS,FAILURE,FAILURE,PASS,PASS,
840,,I need access to docusign,HelpIqAgentMultiplierSoftwareRequests,HelpIqAgentMultiplierSoftwareRequests,"It seems that DocuSign is not listed in the approved application catalog I have access to. Unfortunately, I cannot proce",PASS,PASS,FAILURE,FAILURE,PASS,PASS,
