source,product,category,subcategory,utterance,expected_subagent,expected_action,source_chat_id
software-access-cat,Google Workspace,Software Access,Group Membership,I need access to the Google Developers and Google Payments groups to publish an internal extension,GeneralQnA HelpIq,,019d9877-9247-7302-917f-44bf5cd8a63d
software-access-cat,Jira/JSM,Software Access,Existing Access Issue,I don't have access to this url: https://glassdoor.atlassian.net/wiki/spaces/INFOSEC/pages/444923914/Frontend+-+Secure+Coding+Checklist,GeneralQnA HelpIq,,019d972f-31b1-7e84-a3e4-6811d03be0bc
software-access-cat,Glean,Software Access,Configuration / Settings,need help setting up the Google Service account (GCP) to have it integrate with Glean agent in order to log questions from Slack in Ghseet.,GeneralQnA HelpIq,,019d6d4a-304f-77dd-a0a4-3b67d7cde812
software-access-cat,Google Workspace,Software Access,Existing Access Issue,I need help with two issues: resolving an unresolved ticket (ITS-242346) and regaining access to a Google file I accidentally removed access to.,GeneralQnA HelpIq,,019d69ec-d334-7f31-a0b9-dc568092afb3
software-access-cat,Okta,Software Access,Existing Access Issue,"I cannot log into IBIS World - SSO not working, but I am sure I have access to the application (I used it just last month)",GeneralQnA HelpIq,,019d9c65-fea2-709d-8505-a9e8b6d40354
software-access-cat,Other / Unclear,Software Access,License Request,Where can I request that software license is renewed?,GeneralQnA HelpIq,,019d6e34-4036-76b7-b01f-b3a642286167
software-access-cat,GitHub / GitLab,Software Access,Group Membership,Access to GitLab access/developers group - https://code.corp.indeed.com/groups/access/developers/-/group_members?sort=last_joined Contributing to https://code.corp.indeed.com/employer-analytics/skywalker (Skywalker) and Analytics Core repos for jp_ancore tasks,GeneralQnA HelpIq,,019daf2b-023a-71e2-81d2-822d7810655a
software-access-cat,GitHub / GitLab,Software Access,New Access Request,"I want to sign in to GitHub with my indeed email, how do I do it",GeneralQnA HelpIq,,019d6839-a9cb-73af-a860-271914e19b35
software-access-cat,Google Workspace,Software Access,License Request,how can i get a license for Excel for my account,GeneralQnA HelpIq,,019d84fe-a3ed-7b0e-8c42-08b870f72601
software-access-cat,Indeed / Glassdoor,Software Access,Existing Access Issue,cannot access https://waldo.indeed.com/ do I need a permission,GeneralQnA HelpIq,,019dad6f-d160-7d7b-b2ec-899ac1567436
software-access-cat,Indeed / Glassdoor,Software Access,New Access Request,"I do not have access to the employer glassdoor center, can you help with this?",GeneralQnA HelpIq,,019d9be7-4210-79b8-a94e-0f86c99ada31
software-access-cat,Internal Tool,Software Access,Existing Access Issue,A new team member is having issues accessing Floqast. What does he need to do?,GeneralQnA HelpIq,,019daf22-c951-7644-99ea-60f7fe3295e6
software-access-cat,Internal Tool,Software Access,Configuration / Settings,Box links from my team are expiring too quickly. Can the default sharing setting be changed?,GeneralQnA HelpIq,,
software-access-cat,Seismic,Software Access,Existing Access Issue,"We are currently unable to access Seismic. Previously, we had access; however, the application is no longer visible on the Okta dashboard, and login attempts are resulting in an access error. Could you please grant the required access to Seismic to below agents, so we can process the relevant cases in our queue? arcgate_anshuls arcgate_akteli arcgate_sachinkc arcgate_narmali arcgate_bhumika arcgate_tupadhyay arcgate_wasakram arcgate_rkswarnakar arcgate_rahjain arcgate_abhinav arcgate_kulderashri Your assistance on this would be greatly appreciated.",GeneralQnA HelpIq,,019d77ad-8271-784c-a639-5164d7df9e69
software-access-cat,Okta,Software Access,License Request,"Hi Team - it looks like I no longer have an Excel subscription, so I can’t save documents for clients after editing. Can you check into that for me? When attempting the SSO, it isn’t working for me. Thanks!",GeneralQnA HelpIq,,019d784f-91fc-7d23-9896-306e20028515
software-access-cat,Other / Unclear,Software Access,New Access Request,"I have a rep, Jordan Krause, that has just returned from being on leave and we need to get her access restored",GeneralQnA HelpIq,,019d62e1-e09f-708c-b6e1-39f963f7571c
software-access-cat,Okta,Software Access,New Access Request,Stefan Barr (email: sbarr@indeed.com slack_user_id: WPCTR37MM) - we need to give Steve access to http://Outreach.io but it needs to go through hi Okta account. can you set this up for him?,GeneralQnA HelpIq,,019d7825-6fb2-7b18-9035-263491bbc9ae
software-access-cat,Google Workspace,Software Access,Group Membership,"I am being added to a Google group, but after some time, for some weird reason, I am not being part of the group. Can you help me why this is happening?",GeneralQnA HelpIq,,019d4dd3-3109-7b9a-b5e3-ecabbe4d1ebc
software-access-cat,Jira/JSM,Software Access,Existing Access Issue,"hello, I am unable to access my zendesk ticket. Please assist",GeneralQnA HelpIq,,019d91d0-2c81-7a1d-b785-4e055effe9ef
software-access-cat,Okta,Software Access,Existing Access Issue,"Hey, I have lost access to my GD account. Take a look at this image that was taken while logging in to OKTA.",GeneralQnA HelpIq,,019d87b3-3d08-7113-b847-ae1f3726328e
software-access-cat,Google Workspace,Software Access,New Access Request,How do I gain access to a terminating employee's Google Drive?,GeneralQnA HelpIq,,019d9b9b-fb1c-7029-ad6c-e5c473927b83
software-access-cat,Google Workspace,Software Access,Existing Access Issue,"MBP says I can share this file with ""Kim Baker"" (email: kbaker@indeed.com slack_user_id: WPCTQ0P1D): https://docs.google.com/document/d/1Lgq-uExxQXASeJRHhJnl6CniVxEfgML5X-UAWMT0_4w/edit?tab=t.0#heading=h.uekdleafp2zr",GeneralQnA HelpIq,,019d708b-67a9-7742-8054-82ab068a3c71
software-access-cat,Other / Unclear,Software Access,License Request,I want to use Alfred with the powerpack license,GeneralQnA HelpIq,,019d66a7-afa6-787f-9536-6e870ef3d60c
software-access-cat,Jira/JSM,Software Access,New Access Request,how do I create a ticket to get access to my zendesk ticket?,GeneralQnA HelpIq,,019d92bb-9fd9-7ad9-8e34-c5caf3f457da
software-access-cat,Okta,Software Access,New Access Request,How can I get access to idash in Okta?,GeneralQnA HelpIq,,019d7714-4c57-77eb-be40-47feb5eab432
software-access-cat,Jira/JSM,Software Access,Existing Access Issue,my rep Daniel Wahl is unable to access skytree,GeneralQnA HelpIq,,019d4ebe-6106-74f2-92d8-2af03b063af3
software-access-cat,Internal Tool,Software Access,Group Membership,Can I please get added to the LDAP group `app-translation-users`,GeneralQnA HelpIq,,019da810-3c9f-7fa5-914a-8082f6277f38
software-access-cat,Other / Unclear,Software Access,New Access Request,"Can I use Looker Studio, and if so, do I need to apply for access?",GeneralQnA HelpIq,,
software-access-cat,Google Workspace,Software Access,Group Membership,I need help joining a Google Group because the owner has left the company and I cannot get access.,GeneralQnA HelpIq,,
software-access-cat,Other / Unclear,Software Access,New Access Request,I need access to Microsoft Teams to collaborate with counterparts from Recruit.,GeneralQnA HelpIq,,
software-access-cat,Okta,Software Access,New Access Request,"Hi IT team, I’d like to request access for one of my direct reports, who is currently on maternity leave, to use her work laptop and associated systems. Details: • Employee name: Shelley Stafford - ""Shelley Stafford"" (email: sstafford@indeed.com slack_user_id: U042J1MB4GH) • Manager: Ciara Morrin (mailto:cimorrin@indeed.com) • Department: Revenue Transformation • Location: Dublin – Capital Dock • Reason for request: Employee needs to raise HR requests with Workday to organise her return to work. She officially finishing maternity leave on 16th April, and from 17th April to the 5th May, Shelley will be on PTO Is this something which can be facilitated via this request? Many thanks, Ciara",GeneralQnA HelpIq,,019d8c08-355f-70af-9069-6854870c55c3
software-access-cat,Other / Unclear,Software Access,New Access Request,"Hi, I’m Kameron Green (Software Engineer, Revenue Transformation). I’m trying to access the internal Jupyter instance at https://use2-seff1.corpit.indeed.net/, but my LDAP credentials are rejected. Can you confirm whether I should have access to this host, and if not, which group/team can provision access?",GeneralQnA HelpIq,,019d77c3-5ac2-76aa-9089-143506110a7a
software-access-cat,Internal Tool,Software Access,New Access Request,I need access to docusign,GeneralQnA HelpIq,,019d62a9-86f2-7d53-869e-cbc396978835
software-access-cat,Google Workspace,Software Access,New Access Request,I need access to a terminating employee's Google Drive.,GeneralQnA HelpIq,,
software-access-cat,Internal Tool,Software Access,New Access Request,I need access for request access to Bulk Sending in DocuSign.,GeneralQnA HelpIq,,
software-access-cat,Other / Unclear,Software Access,New Access Request,I need access for terminate a contract and remove their access immediately.,GeneralQnA HelpIq,,
software-access-cat,Okta,Software Access,New Access Request,I need access for request access to Floqast.,GeneralQnA HelpIq,,
software-access-cat,Google Workspace,Software Access,Group Membership,I need access for understanding why I am being removed from a Google group after being added.,GeneralQnA HelpIq,,
software-access-cat,Jira/JSM,Software Access,Existing Access Issue,I need access to the frontend secure coding checklist on Confluence Cloud and want to know about any previous tickets related to this request.,GeneralQnA HelpIq,,
software-access-cat,Glean,Software Access,Configuration / Settings,I need access for setting up a Google service account so Glean can log Slack questions into Google Sheets.,GeneralQnA HelpIq,,
software-access-cat,Google Workspace,Software Access,Existing Access Issue,I need access for an unresolved ticket and regaining access to a Google file I accidentally removed access to.,GeneralQnA HelpIq,,
software-access-cat,Okta,Software Access,Existing Access Issue,"I need access for I cannot log into IBIS World because SSO is not working, and I need help resolving this issue.",GeneralQnA HelpIq,,
software-access-cat,Other / Unclear,Software Access,License Request,I need access for request a software license renewal.,GeneralQnA HelpIq,,
software-access-cat,GitHub / GitLab,Software Access,Group Membership,I need access to the GitLab developers group and specific repositories for contributing to jp_ancore tasks.,GeneralQnA HelpIq,,
software-access-cat,GitHub / GitLab,Software Access,New Access Request,I need access for signing in to GitHub using my Indeed email and EMU account.,GeneralQnA HelpIq,,
software-access-cat,Google Workspace,Software Access,License Request,I need access for a license for Excel because I cannot open large Excel files in Google Sheets or other apps.,GeneralQnA HelpIq,,
software-access-cat,Indeed / Glassdoor,Software Access,Existing Access Issue,I need access to the Waldo application for work.,GeneralQnA HelpIq,,
software-access-cat,Indeed / Glassdoor,Software Access,New Access Request,I need access for regaining access to the Glassdoor Employer Center.,GeneralQnA HelpIq,,
software-access-cat,Internal Tool,Software Access,Existing Access Issue,I need access for a new team member is having trouble accessing FloQast and needs to know what to do.,GeneralQnA HelpIq,,
software-access-cat,Internal Tool,Software Access,Configuration / Settings,I need access for box links from my team are expiring too quickly. Can the default sharing setting be changed.,GeneralQnA HelpIq,,
software-access-cat,Internal Tool,Software Access,Vendor / External Access,"I need access for a contractor needs access to Glean for a project, but they are not showing up in the normal request flow.",GeneralQnA HelpIq,,
software-access-cat,Seismic,Software Access,Existing Access Issue,I need access for regular (Business) User access to Seismic for a list of agents to process Salesforce cases and generate reports.,GeneralQnA HelpIq,,
software-access-cat,Okta,Software Access,License Request,"I need access for restoring my Excel subscription to save and edit client documents, as SSO is not working for me.",GeneralQnA HelpIq,,
software-access-cat,Jira/JSM,Software Access,New Access Request,I need access for create a ticket to get access to my Zendesk account.,GeneralQnA HelpIq,,
software-access-cat,Internal Tool,Software Access,Group Membership,I need access for be added to the LDAP group app-translation-users.,GeneralQnA HelpIq,,
jsm-supplemental,Okta,Account Access,Account Reinstatement,I just returned from leave and my Indeed account looks disabled. Can you help me get access restored?,,,
jsm-supplemental,Okta,Account Access,MFA Reset,I got a new phone and Okta Verify is not sending prompts anymore. What do I need to do to reset MFA?,,,
jsm-supplemental,Zoom,Collaboration / Communications,Conference Room AV,The Zoom Room in our conference room will not connect to the display before a client meeting. Can someone help?,,,
jsm-supplemental,Zoom,Collaboration / Communications,Voice / Call Quality,My Zoom Phone calls keep dropping and clients say my audio cuts in and out. How do I troubleshoot this?,,,
jsm-supplemental,AWS,Developer Tools / Cloud,Cloud Infrastructure,I cannot access my AWS workspace after the migration. It says my account is not authorized.,,,
jsm-supplemental,GitHub / GitLab,Developer Tools / Cloud,Cloud Infrastructure,I need help with a GitLab runner failing to reach an internal package registry from my dev environment.,,,
jsm-supplemental,Workday,HR / Onboarding / Offboarding,Onboarding,My new hire starts tomorrow and still has not received laptop setup or account access instructions. What should I do?,,,
jsm-supplemental,Google Workspace,HR / Onboarding / Offboarding,Offboarding / Access Removal,A teammate left the company and I need their Google Drive ownership transferred before access is removed.,,,
jsm-supplemental,Laptop / Hardware,Hardware Support,Peripherals,I need a USB-C dock and external keyboard for my home setup. Where do I request peripherals?,,,
jsm-supplemental,Laptop / Hardware,Hardware Support,Laptop Imaging / Rebuild,My new Mac setup failed during enrollment and I cannot get past the company management screen.,,,
jsm-supplemental,Laptop / Hardware,IT Service,Equipment Loan / Return,Can I borrow a loaner laptop for a week while mine is being repaired?,,,
jsm-supplemental,Other / Unclear,IT Service,Information Request,Which IT queue should I use for a request that does not fit any of the Help Center forms?,,,
jsm-supplemental,Jira/JSM,Jira/JSM,Jira New Project,I need a new Jira project created for my team with a custom workflow. Where do I start?,,,
jsm-supplemental,Jira/JSM,Jira/JSM,Jira Permissions,I lost access to a Jira board I used last week. Can you help me get permissions back?,,,
jsm-supplemental,Other / Unclear,Knowledge / Policy,Information Request,What is the policy for using a personal device to access Indeed systems while traveling?,,,
jsm-supplemental,Laptop / Hardware,Knowledge / Policy,Information Request,"How often am I eligible for a laptop refresh, and where can I check my current device age?",,,
jsm-supplemental,VPN / Network,Network / VPN,VPN Connectivity,"WARP says it is connected, but internal sites still time out. How can I fix VPN routing?",,,
jsm-supplemental,VPN / Network,Network / VPN,Network Access,I need access from the corporate VPN to a new staging service for my contractor account.,,,
jsm-supplemental,Other / Unclear,Security / Compliance,Blocked Site / URL Review,A vendor site I need for work is blocked by security. Can it be reviewed or allowlisted?,,,
jsm-supplemental,Email / Calendar,Security / Compliance,Blocked Site,"I received a suspicious calendar invite with a link. Should I report it as phishing, and where?",,,
jsm-supplemental,Okta,Vendor / Contractor Access,Vendor / External Access,Our vendor cannot log in to the Indeed workspace in Slack after their contractor account was created.,,,
jsm-supplemental,Laptop / Hardware,Vendor / Contractor Access,Onboarding,We are onboarding a vendor next week and need to know whether they can receive an Indeed laptop.,,,
jsm-supplemental,Other / Unclear,Other / Unclear,General / Other,"I am not sure if this is IT or Facilities, but my desk setup and badge access both seem wrong.",,,
jsm-supplemental,Other / Unclear,Other / Unclear,General / Other,Something changed after the migration and now a few unrelated tools are acting weird. Can you point me to the right support path?,,,
